"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="81873798048635750","gracelandfruit美国进口整粒蔓越莓干226.8克x3包组合零食烘焙","60.00","2","null","组合套餐：(整粒蔓越莓果干226克)*3","null","null","交易成功","null"
="83626407788936774","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="83627221201280791","gracelandfruit美国进口蓝莓果干1kg 大包健康休闲零食","378.00","1","P01808","食品口味：蓝莓果干1kg /包","null","null","交易成功","P01808"
="77056501995704412","gracelandfruit美国进口蓝莓干整粒蔓越莓干四包组合734g","78.00","1","null","组合套餐：(整粒蔓越莓226克)*2+(蓝莓干141克)*2","null","null","交易成功","null"
="77141786779439729","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","69.00","1","null","组合套餐：3包组合","null","null","交易成功","null"
="83586813352399072","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","69.00","1","null","组合套餐：3包组合","null","null","交易成功","null"
="83517181724721092","gracelandfruit美国进口整粒蔓越莓干226.8克x3包组合零食烘焙","60.00","1","null","组合套餐：(整粒蔓越莓果干226克)*3","null","null","交易成功","null"
="83503093833899075","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="77099707388674802","gracelandfruit美国进口整粒蔓越莓果干226gx2包零食烘焙*","118.00","1","null","组合套餐：整粒蔓越莓*2","null","null","交易成功","null"
="77082627897324022","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","69.00","1","null","组合套餐：3包组合","null","null","交易成功","null"
="81697229109214642","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","69.00","1","null","组合套餐：3包组合","null","null","交易成功","null"
="83482205280339575","gracelandfruit蓝莓果干141gx2包零食烘焙蓝莓干美国进口*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="83482205280339575","gracelandfruit美国进口整粒蔓越莓果干226gx2包组合零食烘焙","156.00","1","563768b459bbf959bbb4d6972239c1fc","组合套餐：graceland fruit","null","null","交易成功","563768b459bbf959bbb4d6972239c1fc"
="77073159880196432","gracelandfruit美国进口蓝莓干整粒蔓越莓干四包组合734g","78.00","1","null","组合套餐：(整粒蔓越莓226克)*2+(蓝莓干141克)*2","null","null","交易成功","null"
="81711875504352650","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","69.00","1","null","组合套餐：3包组合","null","null","交易成功","null"
="77074423482965118","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="76984682359113613","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易关闭","null"
="81684154282164254","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="81677742219511054","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="81671722176261350","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","3","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="81581924740261350","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","69.00","1","null","组合套餐：3包组合","null","null","交易成功","null"
="81652571290261350","gracelandfruit美国进口整粒蔓越莓干226.8克x3包组合零食烘焙","60.00","1","null","组合套餐：(整粒蔓越莓果干226克)*3","null","null","交易成功","null"
="81576436638261350","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","3","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="81633083913704141","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","69.00","1","null","组合套餐：3包组合","null","null","交易成功","null"
="81635182671963866","gracelandfruit蓝莓果干141gx2包零食烘焙蓝莓干美国进口*","128.00","4","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="83387483001568866","gracelandfruit蓝莓果干141gx2包零食烘焙蓝莓干美国进口*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="83420134508628993","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="81631458214351141","gracelandfruit美国进口蓝莓干整粒蔓越莓干四包组合734g","78.00","1","null","组合套餐：(整粒蔓越莓226克)*2+(蓝莓干141克)*2","null","null","交易成功","null"
="83404396056810595","GracelandFruit蓝莓果干141.7g整粒蔓越莓果干226.8g组合零食","156.00","1","null","组合套餐：(蓝莓干 141.7克)*1+(整粒蔓越莓果干226克)*1","null","null","交易成功","null"
="81621434730914353","gracelandfruit蓝莓果干141gx2包零食烘焙蓝莓干美国进口*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="76943463213615431","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","69.00","1","null","组合套餐：3包组合","null","null","交易成功","null"
="83376982532105968","gracelandfruit美国进口蓝莓干整粒蔓越莓干四包组合734g","78.00","1","null","组合套餐：(整粒蔓越莓226克)*2+(蓝莓干141克)*2","null","null","交易成功","null"
="76876714648088118","gracelandfruit美国进口蓝莓干整粒蔓越莓干四包组合734g","78.00","1","null","组合套餐：(整粒蔓越莓226克)*2+(蓝莓干141克)*2","null","null","交易成功","null"
="83359904153784599","gracelandfruit美国进口整粒蔓越莓果干1kg蓝莓141g两包组合*","99.00","1","null","组合套餐：(整粒蔓越莓1kg)*1+(g蓝莓干141.7g)*1","null","null","交易成功","null"
="83368978374504689","gracelandfruit美国进口蓝莓干整粒蔓越莓干四包组合734g","78.00","1","null","组合套餐：(整粒蔓越莓226克)*2+(蓝莓干141克)*2","null","null","交易成功","null"
="83348844578381599","gracelandfruit美国进口蓝莓果干1kg 大包健康休闲零食","378.00","1","P01808","食品口味：蓝莓果干1kg /包","null","null","交易成功","P01808"
="81494284278703460","gracelandfruit美国进口整粒蔓越莓干226.8克x3包组合零食烘焙","60.00","1","null","组合套餐：(整粒蔓越莓果干226克)*3","null","null","交易成功","null"
="81570138967703460","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="76858318852119020","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","69.00","2","null","组合套餐：3包组合","null","null","交易成功","null"
="83341398608983092","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","69.00","1","null","组合套餐：3包组合","null","null","交易成功","null"
="81555970796570255","gracelandfruit美国进口整粒蔓越莓干226.8克x3包组合零食烘焙","60.00","1","null","组合套餐：(整粒蔓越莓果干226克)*3","null","null","交易成功","null"
="76751413370901721","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="83300070671129384","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="76845327576652714","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="81493414607110236","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","69.00","1","null","组合套餐：3包组合","null","null","交易成功","null"
="83205991314874299","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","69.00","1","null","组合套餐：3包组合","null","null","交易成功","null"
="83226148952572490","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="81469702129421255","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","2","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="76805567344314716","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","69.00","1","null","组合套餐：3包组合","null","null","交易成功","null"
="83175969371743477","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="76628129143789018","gracelandfruit整粒蔓越莓果干1kg 美国进口烘焙零食","238.00","1","P01811","食品口味：整粒蔓越莓1KG/包","null","null","交易成功","P01811"
="81424426970554354","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","60.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="81378589935934955","gracelandfruit美国进口整粒蔓越莓果干1kg蓝莓141g两包组合*","99.00","1","null","组合套餐：(整粒蔓越莓1kg)*1+(g蓝莓干141.7g)*1","null","null","交易成功","null"
