Payment_time,Transaction_id,Partner_transaction_id,Amount,Foreign_amount,Currency,Exchange_Rate,Fee_type,Fee_amount,Foreign_fee_amount,Fee_desc
2018-02-13 11:57:04,2018021321001001490567896364	,125051088010986362	,76.82	,12.12	,USD,6.33590000	,Tmall Logisitic,9.24	,1.46	,菜鸟-保税_进口关税(商家){LP00093796085352}_2604839566
2018-02-13 11:57:04,2018021321001001490567896364	,125051088010986362	,76.82	,12.12	,USD,6.33590000	,Tmall Logisitic,16.00	,2.53	,菜鸟-保税_服务费用(商家){LP00093796085352}_2604839566
2018-02-13 11:57:04,2018021321001001490567896364	,125051088010986362	,76.82	,12.12	,USD,6.33590000	,Alipay commission,0.77	,0.12	,Alipay service fee
2018-02-13 11:57:04,2018021321001001490567896364	,125051088010986362	,76.82	,12.12	,USD,6.33590000	,Tmall Global Commission,1.36	,0.21	,Tmall Global Commission
2018-02-14 13:14:46,2018021421001001120543589234	,117645531141571657	,69.60	,10.97	,USD,6.34480000	,Tmall Global Commission,1.22	,0.19	,Tmall Global Commission
2018-02-14 13:14:46,2018021421001001120543589234	,117645531141571657	,69.60	,10.97	,USD,6.34480000	,Tmall Logisitic,8.47	,1.33	,菜鸟-保税_进口关税(商家){LP00090677565005}_2604839566
2018-02-14 13:14:46,2018021421001001120543589234	,117645531141571657	,69.60	,10.97	,USD,6.34480000	,Tmall Logisitic,16.00	,2.52	,菜鸟-保税_服务费用(商家){LP00090677565005}_2604839566
2018-02-14 13:14:46,2018021421001001120543589234	,117645531141571657	,69.60	,10.97	,USD,6.34480000	,Alipay commission,0.70	,0.11	,Alipay service fee
2018-02-14 13:22:10,2018021421001001680560423124	,129723352752118309	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00090677648833}_2604839566
2018-02-14 13:22:10,2018021421001001680560423124	,129723352752118309	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00090677648833}_2604839566
2018-02-14 13:22:10,2018021421001001680560423124	,129723352752118309	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
