Partner_transaction_id,Amount,Rmb_amount,Fee,Settlement,Rmb_settlement,Currency,Rate,Payment_time,Settlement_time,Type,Status,Stem_from,Remarks
135483513489108524	,2.87	,18.17	,2.46	,0.41	,2.60	,USD,6.33790000	,2018-03-08 15:40:09,2018-04-23 12:36:00,P,L,T,【女王价】gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
137916404246372414	,3.15	,19.90	,2.53	,0.62	,3.92	,USD,6.32330000	,2018-03-16 08:53:42,2018-04-23 12:36:00,P,L,T,gracelandfruit美国整粒蔓越莓果干226.8gx2包组合(18年5月临期)
136840068082355890	,3.14	,19.90	,2.51	,0.63	,3.99	,USD,6.33730000	,2018-03-16 22:28:55,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
139080226293221920	,10.23	,64.90	,3.42	,6.81	,43.21	,USD,6.34540000	,2018-03-19 16:43:25,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
138917937343094710	,10.23	,64.90	,3.42	,6.81	,43.21	,USD,6.34540000	,2018-03-19 17:06:10,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
139101562067303914	,30.37	,192.68	,7.08	,23.29	,147.78	,USD,6.34540000	,2018-03-19 17:52:10,2018-04-23 12:36:00,P,L,T,gracelandfruit美国进口芒果混合果干橙皮混合果干454克*2包组合
137961387022001797	,10.23	,64.90	,3.42	,6.81	,43.21	,USD,6.34540000	,2018-03-19 18:00:26,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
139268891684750328	,30.37	,192.68	,8.41	,21.96	,139.34	,USD,6.34540000	,2018-03-19 20:06:30,2018-04-23 12:36:00,P,L,T,gracelandfruit美国进口芒果混合果干橙皮混合果干454克*2包组合
138114348214233890	,10.23	,64.90	,3.42	,6.81	,43.21	,USD,6.34540000	,2018-03-19 22:14:36,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
138065827350306579	,10.23	,64.90	,3.42	,6.81	,43.21	,USD,6.34540000	,2018-03-19 22:27:30,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
139066588318019326	,10.23	,64.90	,3.42	,6.81	,43.21	,USD,6.34540000	,2018-03-19 23:30:22,2018-04-23 12:36:00,P,L,T,gracelandfruit美国整粒蔓越莓果干226.8gx2包组合(18年5月临期)
138094637989432985	,10.23	,64.90	,3.42	,6.81	,43.21	,USD,6.34540000	,2018-03-20 00:55:10,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
139234646255918006	,10.23	,64.90	,3.42	,6.81	,43.21	,USD,6.34540000	,2018-03-20 07:28:47,2018-04-23 12:36:00,P,L,T,gracelandfruit美国整粒蔓越莓果干226.8gx2包组合(18年5月临期)
139365463780788603	,27.70	,175.75	,5.93	,21.77	,138.14	,USD,6.34540000	,2018-03-20 07:30:46,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141gx2包零食烘焙蓝莓干美国进口* 等多件
138146635521231599	,10.23	,64.90	,3.42	,6.81	,43.21	,USD,6.34540000	,2018-03-20 08:44:36,2018-04-23 12:36:00,P,L,T,gracelandfruit美国整粒蔓越莓果干226.8gx2包组合(18年5月临期)
139307418078455204	,18.90	,119.80	,5.22	,13.68	,86.71	,USD,6.33840000	,2018-03-20 11:39:45,2018-04-23 12:36:00,P,L,T,gracelandfruit美国整粒蔓越莓果干226.8gx2包组合(18年5月临期)
139319542754531723	,10.24	,64.90	,3.42	,6.82	,43.23	,USD,6.33840000	,2018-03-20 12:17:37,2018-04-23 12:36:00,P,L,T,蓝莓果干141.7g整粒蔓越莓果干226.8g组合零食【18年5月临期】
126636076595293739	,13.77	,87.28	,3.90	,9.87	,62.56	,USD,6.33840000	,2018-03-20 16:12:37,2018-04-23 12:36:00,P,L,T,美国进口整粒蔓越莓干226.8克x3包组合零食烘焙【18年5月临期】
138338321194256394	,10.24	,64.90	,3.42	,6.82	,43.23	,USD,6.33840000	,2018-03-20 16:20:57,2018-04-23 12:36:00,P,L,T,gracelandfruit美国整粒蔓越莓果干226.8gx2包组合(18年5月临期)
126781679368443734	,10.24	,64.90	,3.42	,6.82	,43.23	,USD,6.33840000	,2018-03-20 16:21:51,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
126685497702755854	,40.96	,259.60	,9.85	,31.11	,197.19	,USD,6.33840000	,2018-03-20 16:54:13,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】 等多件
139415694745196518	,10.24	,64.90	,3.42	,6.82	,43.23	,USD,6.33840000	,2018-03-20 16:58:48,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
126759922644412551	,18.90	,119.80	,5.59	,13.31	,84.36	,USD,6.33840000	,2018-03-20 18:42:23,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
139315929165684211	,10.24	,64.90	,3.42	,6.82	,43.23	,USD,6.33840000	,2018-03-20 20:43:49,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
139505742223269914	,10.24	,64.90	,3.42	,6.82	,43.23	,USD,6.33840000	,2018-03-20 21:50:10,2018-04-23 12:36:00,P,L,T,gracelandfruit美国整粒蔓越莓果干226.8gx2包组合(18年5月临期)
126791869093542856	,20.48	,129.80	,4.81	,15.67	,99.32	,USD,6.33840000	,2018-03-20 22:42:44,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
138504363652801983	,10.24	,64.90	,3.42	,6.82	,43.23	,USD,6.33840000	,2018-03-20 23:54:46,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
138527433224283297	,10.24	,64.90	,3.42	,6.82	,43.23	,USD,6.33840000	,2018-03-21 01:43:09,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
139734139285394207	,13.77	,87.28	,4.37	,9.40	,59.58	,USD,6.33840000	,2018-03-21 10:24:10,2018-04-23 12:36:00,P,L,T,gracelandfruit美国进口蔓越莓切片果干1kg健康零食烘焙
138664296219575677	,10.24	,64.90	,3.42	,6.82	,43.23	,USD,6.33840000	,2018-03-21 10:39:48,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141gx2包零食烘焙蓝莓干美国进口*
139274153350610207	,13.77	,87.28	,3.90	,9.87	,62.56	,USD,6.33840000	,2018-03-21 11:02:57,2018-04-23 12:36:00,P,L,T,美国进口蓝莓果干141.7克*3包组合【18年5月临期】
126840364825436031	,13.77	,87.28	,4.99	,8.78	,55.65	,USD,6.33840000	,2018-03-21 11:06:35,2018-04-23 12:36:00,P,L,T,gracelandfruit美国进口蔓越莓切片果干1kg健康零食烘焙
126911989854179149	,10.23	,64.90	,3.42	,6.81	,43.20	,USD,6.34380000	,2018-03-21 12:28:45,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
139485973348820212	,10.23	,64.90	,3.42	,6.81	,43.20	,USD,6.34380000	,2018-03-21 13:00:25,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
127020547405886544	,17.46	,110.78	,4.39	,13.07	,82.91	,USD,6.34380000	,2018-03-21 13:06:54,2018-04-23 12:36:00,P,L,T,美国进口蓝莓干整粒蔓越莓干四包组合734g【18年5月临期】
126896672842373742	,10.23	,64.90	,3.42	,6.81	,43.20	,USD,6.34380000	,2018-03-21 14:05:01,2018-04-23 12:36:00,P,L,T,蓝莓果干141.7g整粒蔓越莓果干226.8g组合零食【18年5月临期】
126992601636362951	,20.46	,129.80	,4.80	,15.66	,99.34	,USD,6.34380000	,2018-03-21 16:52:13,2018-04-23 12:36:00,P,L,T,gracelandfruit美国整粒蔓越莓果干226.8gx2包组合(18年5月临期) 等多件
127028609051972644	,15.89	,100.78	,4.35	,11.54	,73.21	,USD,6.34380000	,2018-03-21 19:02:22,2018-04-23 12:36:00,P,L,T,美国进口蓝莓干整粒蔓越莓干四包组合734g【18年5月临期】
127046669657282231	,10.23	,64.90	,3.42	,6.81	,43.20	,USD,6.34380000	,2018-03-21 20:14:50,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
138935534036377382	,11.99	,76.09	,3.66	,8.33	,52.84	,USD,6.34380000	,2018-03-21 23:53:15,2018-04-23 12:36:00,P,L,T,美国进口gracelandfruit蓝莓蔓越莓纯果干夹心黑巧克力豆150g/罐
139721228900129021	,10.23	,64.90	,3.42	,6.81	,43.20	,USD,6.34380000	,2018-03-22 06:56:29,2018-04-23 12:36:00,P,L,T,gracelandfruit美国整粒蔓越莓果干226.8gx2包组合(18年5月临期)
139057276266276083	,10.23	,64.90	,3.42	,6.81	,43.20	,USD,6.34380000	,2018-03-22 10:40:31,2018-04-23 12:36:00,P,L,T,gracelandfruit美国整粒蔓越莓果干226.8gx2包组合(18年5月临期)
139036866368856791	,28.06	,177.99	,6.45	,21.61	,137.09	,USD,6.34380000	,2018-03-22 11:26:05,2018-04-23 12:36:00,P,L,T,gracelandfruit美国原装进口樱桃果干1kg 无添加健康零食
139066461155649363	,20.51	,129.80	,4.81	,15.70	,99.35	,USD,6.32820000	,2018-03-22 13:47:25,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
139829897669998115	,10.26	,64.90	,3.42	,6.84	,43.28	,USD,6.32820000	,2018-03-22 14:30:24,2018-04-23 12:36:00,P,L,T,gracelandfruit美国整粒蔓越莓果干226.8gx2包组合(18年5月临期)
139103085546945462	,10.26	,64.90	,3.42	,6.84	,43.28	,USD,6.32820000	,2018-03-22 15:29:28,2018-04-23 12:36:00,P,L,T,gracelandfruit美国整粒蔓越莓果干226.8gx2包组合(18年5月临期)
139851989513870806	,10.26	,64.90	,3.42	,6.84	,43.28	,USD,6.32820000	,2018-03-22 15:30:16,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141gx2包零食烘焙蓝莓干美国进口*
127338682656372152	,30.45	,192.68	,7.10	,23.35	,147.76	,USD,6.32820000	,2018-03-22 16:05:43,2018-04-23 12:36:00,P,L,T,gracelandfruit美国进口芒果混合果干橙皮混合果干454克*2包组合
139900624322504503	,15.93	,100.78	,4.35	,11.58	,73.28	,USD,6.32820000	,2018-03-22 16:30:25,2018-04-23 12:36:00,P,L,T,美国进口蓝莓干整粒蔓越莓干四包组合734g【18年5月临期】
139209932783688067	,20.51	,129.80	,4.81	,15.70	,99.35	,USD,6.32820000	,2018-03-22 17:01:49,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
127482491284437634	,10.26	,64.90	,3.42	,6.84	,43.28	,USD,6.32820000	,2018-03-22 21:04:10,2018-04-23 12:36:00,P,L,T,gracelandfruit美国整粒蔓越莓果干226.8gx2包组合(18年5月临期)
127424866950868931	,10.26	,64.90	,3.42	,6.84	,43.28	,USD,6.32820000	,2018-03-22 21:24:22,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
127439650370051752	,10.26	,64.90	,3.42	,6.84	,43.28	,USD,6.32820000	,2018-03-22 22:12:03,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
140276947441830514	,29.19	,184.71	,6.61	,22.58	,142.89	,USD,6.32820000	,2018-03-22 22:18:23,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
127506571709042132	,10.26	,64.90	,3.42	,6.84	,43.28	,USD,6.32820000	,2018-03-22 22:29:17,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
127414869233108232	,10.26	,64.90	,3.42	,6.84	,43.28	,USD,6.32820000	,2018-03-22 23:01:10,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
139296931563305489	,10.26	,64.90	,3.42	,6.84	,43.28	,USD,6.32820000	,2018-03-22 23:57:45,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
140305787961447813	,10.26	,64.90	,3.42	,6.84	,43.28	,USD,6.32820000	,2018-03-23 00:34:00,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
140309427741264726	,10.26	,64.90	,3.42	,6.84	,43.28	,USD,6.32820000	,2018-03-23 01:11:29,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
127474426103024256	,10.26	,64.90	,3.42	,6.84	,43.28	,USD,6.32820000	,2018-03-23 02:09:33,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
140028417754197014	,10.26	,64.90	,3.42	,6.84	,43.28	,USD,6.32820000	,2018-03-23 08:15:38,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
139327729639817670	,10.26	,64.90	,3.42	,6.84	,43.28	,USD,6.32820000	,2018-03-23 08:48:49,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
127531994920531258	,15.93	,100.78	,5.05	,10.88	,68.85	,USD,6.32820000	,2018-03-23 11:00:03,2018-04-23 12:36:00,P,L,T,美国进口蓝莓干整粒蔓越莓干四包组合734g【18年5月临期】
139388349559646072	,10.26	,64.90	,3.42	,6.84	,43.28	,USD,6.32820000	,2018-03-23 11:27:31,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
139530141074215472	,10.23	,64.90	,3.42	,6.81	,43.20	,USD,6.34380000	,2018-03-23 17:35:25,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
139615736461665786	,18.88	,119.80	,4.75	,14.13	,89.64	,USD,6.34380000	,2018-03-23 18:58:18,2018-04-23 12:36:00,P,L,T,蓝莓果干141.7g整粒蔓越莓果干226.8g组合零食【18年5月临期】
139687251956609984	,10.23	,64.90	,3.42	,6.81	,43.20	,USD,6.34380000	,2018-03-24 07:36:45,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
139740982817209680	,12.85	,81.54	,4.34	,8.51	,53.99	,USD,6.34380000	,2018-03-24 09:36:10,2018-04-23 12:36:00,P,L,T,gracelandfruit美国进口蔓越莓切片果干1kg健康零食烘焙
139740982816209680	,9.56	,60.64	,3.41	,6.15	,39.01	,USD,6.34380000	,2018-03-24 09:36:10,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141gx2包零食烘焙蓝莓干美国进口*
140537374607237409	,9.44	,59.90	,3.82	,5.62	,35.65	,USD,6.34380000	,2018-03-24 10:29:40,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
140537374606237409	,9.44	,59.90	,3.82	,5.62	,35.65	,USD,6.34380000	,2018-03-24 10:29:40,2018-04-23 12:36:00,P,L,T,gracelandfruit美国整粒蔓越莓果干226.8gx2包组合(18年5月临期)
140772155393505609	,19.98	,126.52	,4.89	,15.09	,95.57	,USD,6.33330000	,2018-03-24 15:32:52,2018-04-23 12:36:00,P,L,T,美国进口gracelandfruit整粒蓝莓蔓越莓果干夹心黑巧克力150g*2罐
140797943829993701	,10.25	,64.90	,3.42	,6.83	,43.26	,USD,6.33330000	,2018-03-24 16:49:29,2018-04-23 12:36:00,P,L,T,gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】
140539976598231327	,30.06	,190.37	,6.89	,23.17	,146.74	,USD,6.33330000	,2018-03-24 17:57:15,2018-04-23 12:36:00,P,L,T,gracelandfruit美国进口蓝莓果干1kg 大包健康休闲零食
