"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="154839030206893571","进口gracelandfruit整粒蔓越莓果干果脯蜜饯226gx2包零食烘焙*","118.00","2","null","组合套餐：整粒蔓越莓*2","null","null","卖家已发货，等待买家确认","null"
="154832702611290180","进口gracelandfruit整粒蔓越莓果干果脯蜜饯226gx2包零食烘焙*","118.00","2","null","组合套餐：整粒蔓越莓*2","null","null","交易成功","null"
="140700283758698146","进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778019","食品口味：蔓越莓果干巧克力","null","null","交易成功","8802534778019"
="140700283758698146","进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778002","食品口味：蓝莓果干巧克力","null","null","交易成功","8802534778002"
="140695999548239353","美国进口gracelandfruit蓝莓果干果脯141gx2袋装休闲零食烘焙*","128.00","2","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="140683931641921232","gracelandfruit整粒蔓越莓果干1kg 美国进口烘焙零食","238.00","1","P01811","食品口味：整粒蔓越莓1KG/包","null","null","卖家已发货，等待买家确认","P01811"
="154791822532965388","gracelandfruit美国进口蓝莓果干果脯蜜饯1kg袋装休闲零食烘焙","378.00","1","P01808","食品口味：蓝莓果干1kg /包","null","null","交易成功","P01808"
="154709613904992664","gracelandfruit美国进口蓝莓果干果脯蜜饯1kg袋装休闲零食烘焙","378.00","1","P01808","食品口味：蓝莓果干1kg /包","null","null","卖家已发货，等待买家确认","P01808"
="154704687788194968","gracelandfruit美国进口蔓越莓切片果干1kg健康零食烘焙","168.00","1","P01810","食品口味：蔓越莓果干 1kg","null","null","交易成功","P01810"
="153398222710155907","美国进口gracelandfruit蓝莓果干果脯141gx2袋装休闲零食烘焙*","128.00","2","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","卖家已发货，等待买家确认","P01792"
="153164925201199422","美国进口gracelandfruit蓝莓果干果脯141gx2袋装休闲零食烘焙*","128.00","2","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","卖家已发货，等待买家确认","P01792"
="154676096789685567","gracelandfruit整粒蔓越莓果干1kg 美国进口烘焙零食","238.00","1","P01811","食品口味：整粒蔓越莓1KG/包","null","null","卖家已发货，等待买家确认","P01811"
="153466319473522002","gracelandfruit整粒蔓越莓果干1kg 美国进口烘焙零食","238.00","1","P01811","食品口味：整粒蔓越莓1KG/包","null","null","交易成功","P01811"
="154637232201970897","gracelandfruit美国进口芒果混合果干橙皮混合果干454克*2包组合","417.00","1","null","组合套餐：(芒果混合果干453g)*1+(橙皮混合果干453g)*1","null","null","交易成功","null"
="154567738021254495","美国进口gracelandfruit整粒蔓越莓果干果脯226.8gx2包零食烘焙","156.00","2","563768b459bbf959bbb4d6972239c1fc","组合套餐：graceland fruit","null","null","卖家已发货，等待买家确认","563768b459bbf959bbb4d6972239c1fc"
