单号,货品编码,货品名称,仓库名称,出入库时间,单据类型,库存类型,出入数量,结存数量,ERP订单号,外部流水号
LBX0325661743058777,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-30 16:28:12,交易出库,可销售库存,-4,981,153164925201199422,153164925201199422
LBX0325661742844270,XY521068155265,Graceland Fruit 整粒蔓越莓果干 1000克,菜鸟上海保税1号仓,2018-04-30 15:25:35,交易出库,可销售库存,-1,31,154676096789685567,154676096789685567
LBX0325661742603728,708390000210,GracelandFruit莓果橙皮 混合果干 454克,菜鸟上海保税1号仓,2018-04-30 15:18:43,交易出库,可销售库存,-1,39,154637232201970897,154637232201970897
LBX0325661742603728,708390000227,GracelandFruit芒果莓果 混合果干 454克,菜鸟上海保税1号仓,2018-04-30 15:18:43,交易出库,可销售库存,-1,15,154637232201970897,154637232201970897
LBX0325661742538563,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-30 15:16:40,交易出库,可销售库存,-4,487,154567738021254495,154567738021254495
LBX0325661742682791,XY521068155265,Graceland Fruit 整粒蔓越莓果干 1000克,菜鸟上海保税1号仓,2018-04-30 14:08:35,交易出库,可销售库存,-1,32,153466319473522002,153466319473522002
LBX0325661742465944,XY521068155265,Graceland Fruit 整粒蔓越莓果干 1000克,菜鸟上海保税1号仓,2018-04-30 13:18:56,交易出库,可销售库存,-1,33,154558023374254495,154558023374254495
LBX0325661742429246,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-30 13:13:54,交易出库,可销售库存,-1,1600,153109568808561226,153109568808561226
LBX0325661741521807,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-30 09:47:12,交易出库,可销售库存,-4,491,153194914992475114,153194914992475114
LBX0325661741197290,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-30 09:45:10,交易出库,可销售库存,-4,985,154434176627477770,154434176627477770
LBX0325661741522830,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-30 09:43:08,交易出库,可销售库存,-4,989,154440871712113285,154440871712113285
LBX0325661740695539,XY521074093868,Graceland Fruit 蔓越莓切片果干 226.8克,菜鸟上海保税1号仓,2018-04-29 17:28:32,交易出库,可销售库存,-5,258,153215271005112406,153215271005112406
LBX0325661740620278,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-29 17:12:58,交易出库,可销售库存,-1,1204,140205969430512851,140205969430512851
LBX0325661740620278,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-29 17:12:58,交易出库,可销售库存,-2,495,140205969430512851,140205969430512851
LBX0325661740406060,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-29 16:15:28,交易出库,可销售库存,-1,1601,154293420027862267,154293420027862267
LBX0325661740074277,XY521068155265,Graceland Fruit 整粒蔓越莓果干 1000克,菜鸟上海保税1号仓,2018-04-29 14:00:43,交易出库,可销售库存,-1,34,153128331313557820,153128331313557820
LBX0325661740023786,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-29 13:58:07,交易出库,可销售库存,-2,993,152979258061609901,152979258061609901
LBX0325661740107310,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-29 13:57:11,交易出库,可销售库存,-1,1205,152821196230846523,152821196230846523
LBX0325661740107310,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-29 13:57:11,交易出库,可销售库存,-1,1602,152821196230846523,152821196230846523
LBX0325661740020111,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-29 13:29:42,交易出库,可销售库存,-1,1206,140142774153491148,140142774153491148
LBX0325661739537216,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-29 09:58:51,交易出库,可销售库存,-1,1603,153065723940430611,153065723940430611
LBX0325661738961070,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-29 09:35:16,交易出库,可销售库存,-2,497,152871262317170727,152871262317170727
LBX0325661739145575,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-29 09:34:42,交易出库,可销售库存,-2,1207,140041049618892332,140041049618892332
LBX0325661738099151,XY521068155265,Graceland Fruit 整粒蔓越莓果干 1000克,菜鸟上海保税1号仓,2018-04-29 09:33:13,交易出库,可销售库存,-1,35,140000815832046332,140000815832046332
LBX0325661737948310,XY521077912497,Graceland Fruit 蓝莓果干 1000克,菜鸟上海保税1号仓,2018-04-28 17:30:45,交易出库,可销售库存,-1,55,139933810146220459,139933810146220459
LBX0325661738064323,XY521077912497,Graceland Fruit 蓝莓果干 1000克,菜鸟上海保税1号仓,2018-04-28 17:29:59,交易出库,可销售库存,-2,56,152905311683654517,152905311683654517
LBX0325661737713364,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-28 17:09:35,交易出库,可销售库存,-1,1209,153853626287362995,153853626287362995
LBX0325661737550045,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-28 17:09:33,交易出库,可销售库存,-1,1210,152530080367963506,152530080367963506
LBX0325661737550045,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-28 17:09:33,交易出库,可销售库存,-1,1604,152530080367963506,152530080367963506
LBX0325661737387050,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-28 14:27:23,交易出库,可销售库存,-1,1211,153804039759859781,153804039759859781
LBX0325661737174888,XY521074093868,Graceland Fruit 蔓越莓切片果干 226.8克,菜鸟上海保税1号仓,2018-04-28 13:55:16,交易出库,可销售库存,-3,263,152628390135049012,152628390135049012
LBX0325661737174888,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-28 13:55:16,交易出库,可销售库存,-3,995,152628390135049012,152628390135049012
LBX0325661737206557,XY521074249153,Graceland Fruit 酸樱桃果干 1000克,菜鸟上海保税1号仓,2018-04-28 13:54:20,交易出库,可销售库存,-1,105,153828060224340170,153828060224340170
